uuid,First Name,Last Name,Orcid,google_scholar,pubmed,institution_url,gender
d929423c-a2ec-4e94-a3a0-2a0eabf69c02,Ayse Selin,Kocaman,https://orcid.org/0000-0001-8345-5999,,,,female
e9b43df7-b34e-4f31-9b27-91907854e114,Agnese,Beltramo,https://orcid.org/0000-0001-6591-3028,,,,female
fcc69a93-4009-44ee-a713-0d7fd3ceeb77,Eunice Pereira,Ramos,https://orcid.org/0000-0001-9061-8485,,,,female
35cb1282-6077-49a1-b2c3-c86742bfa032,Constantinos,Taliotis,https://orcid.org/0000-0003-4022-5506,,,,male
265e8274-3c6f-4875-93e6-717e92d202b6,Taco,Niet,https://orcid.org/0000-0003-0266-2705,,,,male
8ad24959-17f5-4a10-a8e4-89f5cf5bce75,Abhishek,Shivakumar,https://orcid.org/0000-0002-2535-4134,,,,male
dd29b74b-32fd-4f37-99fb-bef5fba68cef,Eric,Williams,https://orcid.org/0000-0002-6352-2928,,,,male
62f79432-eaa9-4265-9114-20275880d76f,Babak,Khavari,https://orcid.org/0000-0002-0538-7887,,,,male
16292655-fb61-4a1c-9e62-d64510d06712,Alexandros,Korkovelos,https://orcid.org/0000-0001-5487-1002,,,,male
2a18315d-51bb-4ae8-bdfd-316b1fa78b0a,Francesco,Fuso Nerini,https://orcid.org/0000-0002-4770-4051,,,,male
ea61459a-8e48-4e11-88d4-8cd084b3885f,Holger,Dalkmann,,,,,male
32f42dc5-8bdf-4e60-978b-29c806649ea5,Constance,Crozier,https://orcid.org/0000-0001-9774-2729,,,,female
bf48dcc7-2eb9-4e4f-8e55-46d5ab3222c4,Nesrine,Mhiri,https://orcid.org/0000-0003-0741-0021,,,,female
863f2ae4-e392-480c-adfe-e7b79ebb16c1,Franziska,Bock,https://orcid.org/0000-0002-7360-6332,,,,female
382724c9-9f2e-452d-a7e0-c72ece1d7fef,Thameur,Necibi,https://orcid.org/0000-0002-1596-6831,,,,male
e5dd7874-3ea4-4aa8-bf1a-dcc4e3d926cc,Chiheb,Bouden,https://orcid.org/0000-0001-7168-7936,,,,male
c5c0aec5-04b1-4d47-bf7a-aaf37ce8384f,Hoy-Yen,Chan,https://orcid.org/0000-0003-1263-1654,,,,female
39653007-b311-4472-a0be-4f3e3ed247b5,Monika,Merdekawati,,,,,female
7960fd30-1de3-402c-8564-76259f2b0786,Beni,Suryadi,https://orcid.org/0000-0002-1668-4086,,,,male
1d6fe370-a771-42ab-9eb6-c96ac0083f46,Aniq,Ahsan,https://orcid.org/0000-0002-6027-4818,,,https://eng.ox.ac.uk/people/aniq-ahsan/,male
bebfbc54-168b-4eaf-8766-8c2bbc08145e,Flora,Charbonnier,https://orcid.org/0000-0003-3174-0362,,,https://eng.ox.ac.uk/people/flora-charbonnier/,female
d3ef7616-660a-4b43-bc7f-c12dc7b8c115,Karla,Cervantes Barron,https://orcid.org/0000-0001-9185-3022,,,,female
cb6cc50b-33d3-4ced-a290-90a3bcccff06,Maaike E.,Hakker,,,,,female
fb9d4e7a-c5ff-488e-97fc-8b72095fdc85,Jonathan M.,Cullen,https://orcid.org/0000-0003-4347-5025,,,http://www.eng.cam.ac.uk/profiles/jmc99,male
